platform,backend,variant,device,mode,dataset,n_images,mean_latency_ms,std_latency_ms,fps,mean_f1,mean_iou,avg_predictions,load_time_s
Arc_B60,openvino,int4_sym,CPU,text,LED,15,5406.34791853372,55.48897524749483,0.18496774811178163,0.0,0.0,0.0,2.991895248997025
Arc_B60,openvino,int4_sym,CPU,text,Nuts,21,6073.975476098158,71.84990587253382,0.16463681882403433,0.653302113386147,0.9718161010497878,6.666666666666667,2.9822671489673667
Arc_B60,openvino,int4_sym,CPU,text,Potatoes,10,5538.298177591059,144.02331000395108,0.18056088132744064,0.9630065359477123,0.9852448422898883,8.0,4.951719141972717
Arc_B60,openvino,int4_sym,CPU,visual_exemplar,Candies,11,5403.843219905288,155.21578938350032,0.18505348125505514,0.7730787639160788,0.9473854004889636,25.09090909090909,3.069782506034244
Arc_B60,openvino,int4_sym,CPU,visual_exemplar,LED,14,5419.11285621297,48.2184774184909,0.18453204916253182,0.8346938775510205,0.7692544378384542,3.142857142857143,3.1684709149994887
Arc_B60,openvino,int4_sym,CPU,visual_exemplar,Nuts,20,5415.652071405202,55.527900769275035,0.18464997138202963,0.9170773670773672,0.9718150712299483,3.7,3.104708931001369
Arc_B60,openvino,int4_sym,CPU,visual_exemplar,Potatoes,9,5439.678217316719,134.9995514232589,0.18383440344257704,0.9934640522875817,0.9862554332734054,8.11111111111111,3.1079401369788684
Arc_B60,openvino,int8_asym,CPU,text,Candies,12,5210.740982511197,92.69781261369205,0.19191128543067074,0.9920370370370369,0.9443534979721643,20.5,2.969586396997329
Arc_B60,openvino,int8_asym,CPU,text,LED,15,5184.137639810797,66.44097217485944,0.1928961130045337,0.0,0.0,0.0,3.174335999006871
Arc_B60,openvino,int8_asym,CPU,text,Nuts,21,5866.3166677607005,73.06312393924686,0.17046471519269715,0.6979402872260014,0.9713535975430555,6.476190476190476,3.5068041720078327
Arc_B60,openvino,int8_asym,CPU,text,Potatoes,10,5380.019304802408,158.16679237244108,0.18587293898878063,1.0,0.9848855656281188,8.0,4.973934023990296
Arc_B60,openvino,int8_asym,CPU,visual_exemplar,Candies,11,5203.35298309907,106.06033404975015,0.19218377135821546,0.9913131313131313,0.9453840593349124,20.272727272727273,3.133713847026229
Arc_B60,openvino,int8_asym,CPU,visual_exemplar,LED,14,5209.086458718438,98.55048053432238,0.19197224079978592,0.9920634920634921,0.8373978780812786,4.071428571428571,3.1967355610104278
Arc_B60,openvino,int8_asym,CPU,visual_exemplar,Nuts,20,5219.0666420036,50.010083084426206,0.1916051410326694,0.9761904761904763,0.9714357649586892,3.55,3.2566655999980867
Arc_B60,openvino,int8_asym,CPU,visual_exemplar,Potatoes,9,5288.83524766166,118.98124472033938,0.18907754792364304,1.0,0.9856118306930397,8.0,3.0667497160029598
Arc_B60,openvino,int8_ptq_E,GPU,canvas,Candies,11,391.8734675548463,2.236338409420874,2.5518441098848847,0.0,0.0,0.0,7.992437607026659
